	origin_source_name	origin_entity_id	tamr_id	API_NUMBER	COUNTY	LATITUDE_UNIFIED	LONGITUDE_UNIFIED	LATITUDE_SURFACE	LATITUDE_BOTTOM	LONGITUDE_BOTTOM	LONGITUDE_SURFACE	OPERATOR_ID	OPERATOR_NAME	SPUD_DATE	WELL_NAME	WELL_NUMBER	WELL_STATUS	FIELD_NAME	FIELD_ID	LEASE_NAME	NAMES_UNIFIED	WELL_NAME_UNIFIED	SPUD_DATE_tamr	API_NUMBER_strip	Geofeature
668	p	9	7		HOWARD	32.196650399999996	-101.42507490000001	32.196650399999996	32.2225703	-101.4352384	-101.42507490000001	788997				0963WA				TAGGERT A	TAGGERT A	TAGGERT A 0963WA			{'point': [-101.42507490000001, 32.196650399999996], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1318	p	2	7		DUVAL	27.6546599	-98.7504683	27.6546599	27.6546599	-98.7504683	-98.7504683	253162		2009-08-28T00:00:00		19H	W			GRUY, DAGMAR	GRUY, DAGMAR	GRUY, DAGMAR 19H	2009-08-28		{'point': [-98.7504683, 27.6546599], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1247	u	3	7	4200307072	Andrews	32.1886696	-102.56268348					844118	TEXACO E & P INC.	2/8/1956		1		UNIVERSITY BLOCK 9 (DEVONIAN)	540	"STATE OF TEXAS ""BH"""	"STATE OF TEXAS ""BH"""	"STATE OF TEXAS ""BH"" 1"	1956-02-08	4200307072	{'point': [-102.56268348, 32.1886696], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
873	W	1	7	'35039224430000		35.522747000000003	-99.304715000000002					6778	APACHE CORPORATION	2014-09-02	JOYCE TRUST 10-12-20	'1H	AC				JOYCE TRUST 10-12-20	JOYCE TRUST 10-12-20 '1H	2014-09-02	'3503922443	{'point': [-99.304715, 35.522747], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
74	p	9	-		ANDREWS	32.1764005	-102.77493129999999	32.1764005	32.1764005	-102.77493129999999	-102.77493129999999	29340				E  9	W			UNIVERSITY 11 SEC. 2	UNIVERSITY 11 SEC. 2	UNIVERSITY 11 SEC. 2 E  9			{'point': [-102.77493129999999, 32.1764005], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
772	W	2	7	'3504924729		34.723055555555597	-97.362555555555502					23518	KYBENCO DISPOSALS LLC	2009-01-09	SELMAN	'1-21	AC				SELMAN	SELMAN '1-21	2009-01-09	'3504924729	{'point': [-97.3625555555555, 34.7230555555556], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
503	p	7	7		YOUNG	32.9602422	-98.52311759999999	32.9602422	32.9602422	-98.52311759999999	-98.52311759999999	161297				1	W			TYSON	TYSON	TYSON 1			{'point': [-98.52311759999999, 32.9602422], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1292	W	2	7	'35051236110000		35.030011000000002	-97.806317000000007					3186	CONTINENTAL RESOURCES INC	2012-05-31	ELLIOTT	'1-35H	AC				ELLIOTT	ELLIOTT '1-35H	2012-05-31	'3505123611	{'point': [-97.806317, 35.030011], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
82	u	5	-	4200334425	Andrews	32.16726954	-102.76729039					29347	ARCO PERMIAN	12/17/1992		5		MARTIN (CLEAR FORK)	258	"UNIVERSITY 11 SEC 11 ""A"""	"UNIVERSITY 11 SEC 11 ""A"""	"UNIVERSITY 11 SEC 11 ""A"" 5"	1992-12-17	4200334425	{'point': [-102.76729039, 32.16726954], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
1209	p	2	7		ZAPATA	27.2098282	-99.309314	27.2098282	27.2098282	-99.309314	-99.309314	864424		1993-08-16T00:00:00		177	W			LA PERLA	LA PERLA	LA PERLA 177	1993-08-16		{'point': [-99.309314, 27.2098282], 'multiPoint': None, 'lineString': None, 'multiLineString': None, 'polygon': None, 'multiPolygon': None}
